Country,CountryStandardised
Republic of moldova,Moldova
Mongolia,Mongolia
Montenegro,Montenegro
Montserrat,Montserrat
Morocco,Morocco
Mozambique,Mozambique
Myanmar (formerly burma),Myanmar
Namibia,Namibia
Nauru,Nauru
Nepal,Nepal
Netherland antilles,Netherlands Antilles
Netherlands,Netherlands
New caledonia,New Caledonia
New zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Niue,Niue
Democratic people s republic of korea,North Korea
Norway,Norway
Oman,Oman
East & west pakistan,Pakistan
Pakistan,Pakistan
Pacific islands (palau),Palau
Palau,Palau
Occupied palestinian territory,Palestine
Panama,Panama
Papua new guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Puerto rico,Puerto Rico
Qatar,Qatar
Reunion,Reunion
Romania,Romania
Russian federation,Russia
Rwanda,Rwanda
Saint helena,Saint Helena
St. kitts-nevis,Saint Kitts and Nevis
Saint lucia,Saint Lucia
St. pierre & miquelon,Saint Pierre and Miquelon
St. vincent & the grenadines,Saint Vincent and the Grenadines
Samoa,Samoa
Sao tome & principe,Sao Tome and Principe
Saudi arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Sierra leone,Sierra Leone
Singapore,Singapore
Saint martin (dutch portion),Sint Maarten (Dutch part)
Slovakia,Slovakia
Slovenia,Slovenia
Solomon islands,Solomon Islands
Somalia,Somalia
South africa,South Africa
Republic of korea,South Korea
Republic of south sudan,South Sudan
Spain,Spain
Sri lanka,Sri Lanka
Republic of sudan,Sudan
Sudan,Sudan
Suriname,Suriname
Swaziland,Swaziland
Sweden,Sweden
Switzerland,Switzerland
Syrian arab republic,Syria
Taiwan,Taiwan
Tajikistan,Tajikistan
United republic of tanzania,Tanzania
Thailand,Thailand
Timor-leste (formerly east timor),Timor
Togo,Togo
Tonga,Tonga
Trinidad and tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
Turks and caicos islands,Turks and Caicos Islands
Tuvalu,Tuvalu
Uganda,Uganda
Ukraine,Ukraine
United arab emirates,United Arab Emirates
United kingdom,United Kingdom
United korea,United Korea
United states of america,United States
Uruguay,Uruguay
Ussr,USSR
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Venezuela,Venezuela
Democratic republic of vietnam,Vietnam
Viet nam,Vietnam
Wallis and futuna islands,Wallis and Futuna Islands
Former democratic yemen,Yemen
Former yemen,Yemen
Yemen,Yemen
Yugoslavia (former socialist federal republic),Yugoslavia
Zambia,Zambia
Zanzibar,Zanzibar
Zimbabwe,Zimbabwe
Federation of malaya-singapore,
Former german democratic republic,Germany
Former panama canal zone,
French indo-china,Vietnam
French west africa,
Japan (excluding the ruyuku islands),Japan
Leeward islands,
Netherland antilles and aruba,
Republic of south vietnam,Vietnam
Rhodesia-nyasaland,
Rwanda-urundi,Rwanda
Ryukyu islands,
Sabah,Malaysia
Sarawak,Malaysia
St. kitts-nevis-anguilla,
Tanganyika,
Yugoslavia (montenegro & serbia),
Bunkers,International transport
